COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Rep Ben Smith,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,217,PCT 217,3140,2190,1,1427,0,763,Rep Ben Smith,Rep
COLL,218,PCT 218,4297,3093,1,1831,0,1262,Rep Ben Smith,Rep
COLL,219,PCT 219,4559,3137,1,1765,0,1372,Rep Ben Smith,Rep
COLL,220,PCT 220,2465,1745,0,1000,0,745,Rep Ben Smith,Rep
COLL,221,PCT 221,2053,1470,0,969,0,501,Rep Ben Smith,Rep
COLL,222,PCT 222,3965,2870,1,1613,0,1257,Rep Ben Smith,Rep
COLL,223,PCT 223,2501,1839,0,1076,0,763,Rep Ben Smith,Rep
COLL,224,PCT 224,3351,2568,1,1954,0,614,Rep Ben Smith,Rep
COLL,225,PCT 225,3945,2807,2,1587,0,1220,Rep Ben Smith,Rep
COLL,226,PCT 226,4404,2945,0,1618,0,1327,Rep Ben Smith,Rep
COLL,227,PCT 227,4468,3160,0,1888,0,1272,Rep Ben Smith,Rep
COLL,228,PCT 228,4845,3037,1,1772,0,1265,Rep Ben Smith,Rep
COLL,229,PCT 229,2259,1494,0,831,0,663,Rep Ben Smith,Rep
COLL,230,PCT 230,4953,3021,0,1650,0,1371,Rep Ben Smith,Rep
COLL,231,PCT 231,3938,2850,0,1754,0,1096,Rep Ben Smith,Rep
COLL,232,PCT 232,3850,2755,0,1730,0,1025,Rep Ben Smith,Rep
COLL,233,PCT 233,2089,1443,0,913,0,530,Rep Ben Smith,Rep
COLL,234,PCT 234,3351,2585,0,1472,0,1113,Rep Ben Smith,Rep
COLL,235,PCT 235,1916,1332,3,719,0,613,Rep Ben Smith,Rep
COLL,236,PCT 236,3015,2217,1,1436,0,781,Rep Ben Smith,Rep
COLL,237,PCT 237,2345,1522,3,853,0,669,Rep Ben Smith,Rep
COLL,238,PCT 238,4043,2583,0,1389,0,1194,Rep Ben Smith,Rep
COLL,239,PCT 239,4293,3051,0,2227,0,824,Rep Ben Smith,Rep
COLL,240,PCT 240,4358,3212,0,2354,0,858,Rep Ben Smith,Rep
COLL,241,PCT 241,1549,1115,0,630,0,485,Rep Ben Smith,Rep
COLL,242,PCT 242,3578,2604,0,1545,0,1059,Rep Ben Smith,Rep
COLL,243,PCT 243,1684,1272,0,918,0,354,Rep Ben Smith,Rep
COLL,244,PCT 244,3235,2337,0,1423,0,914,Rep Ben Smith,Rep
COLL,245,PCT 245,2764,1651,0,946,0,705,Rep Ben Smith,Rep
COLL,246,PCT 246,2859,2137,1,1245,0,892,Rep Ben Smith,Rep
COLL,247,PCT 247,2436,1876,0,1363,0,513,Rep Ben Smith,Rep
COLL,248,PCT 248,2328,1645,0,983,0,662,Rep Ben Smith,Rep
COLL,249,PCT 249,4743,3053,0,2028,0,1025,Rep Ben Smith,Rep
COLL,250,PCT 250,3886,3025,0,1765,0,1260,Rep Ben Smith,Rep
COLL,251,PCT 251,2568,1852,0,1299,0,553,Rep Ben Smith,Rep
COLL,252,PCT 252,3149,2338,0,1697,0,641,Rep Ben Smith,Rep
COLL,253,PCT 253,3111,2203,1,1263,0,940,Rep Ben Smith,Rep
COLL,254,PCT 254,1286,806,0,470,0,336,Rep Ben Smith,Rep
COLL,255,PCT 255,3292,2440,1,1704,0,736,Rep Ben Smith,Rep
COLL,256,PCT 256,767,540,0,403,0,137,Rep Ben Smith,Rep
COLL,257,PCT 257,1342,890,1,561,0,329,Rep Ben Smith,Rep
COLL,258,PCT 258,3045,2073,1,1027,0,1046,Rep Ben Smith,Rep
COLL,259,PCT 259,3698,2420,0,1453,0,967,Rep Ben Smith,Rep
COLL,260,PCT 260,438,319,0,245,0,74,Rep Ben Smith,Rep
COLL,261,PCT 261,3221,2306,0,1521,0,785,Rep Ben Smith,Rep
COLL,262,PCT 262,3038,2081,0,1055,0,1025,Rep Ben Smith,Rep
COLL,263,PCT 263,2055,1544,1,1093,0,452,Rep Ben Smith,Rep
COLL,264,PCT 264,3994,2746,0,1695,0,1051,Rep Ben Smith,Rep
COLL,265,PCT 265,0,0,0,0,0,0,Rep Ben Smith,Rep
COLL,266,PCT 266,62,42,0,21,0,21,Rep Ben Smith,Rep
COLL,267,PCT 267,19,13,0,6,0,7,Rep Ben Smith,Rep
COLL,268,PCT 268,0,0,0,0,0,0,Rep Ben Smith,Rep
COLL,269,PCT 269,0,0,0,0,0,0,Rep Ben Smith,Rep
COLL,270,PCT 270,2,1,0,1,0,0,Rep Ben Smith,Rep
COLL,271,PCT 271,1035,750,0,490,0,260,Rep Ben Smith,Rep
COLL,272,PCT 272,1,1,0,1,0,0,Rep Ben Smith,Rep
COLL,273,PCT 273,260,202,0,150,0,52,Rep Ben Smith,Rep
